window,train_start,train_end,test_start,test_end,oos_sharpe,oos_sharpe_ci_lower,oos_sharpe_ci_upper,oos_num_trades,oos_win_rate,oos_avg_pnl,oos_profit_factor,sufficient_trades,param_rsi_oversold,param_rsi_overbought,param_profit_target_pct,param_time_exit_dte,param_stop_loss_pct
W1,2020-01-01,2020-04-30,2020-05-01,2020-08-31,-3.067325201803827,,,7,14.3,-69.15,0.15,False,25,65,50,21,-150
W2,2020-05-01,2020-08-31,2020-09-01,2020-12-31,1.832734036932926,,,7,57.1,18.27,2.47,False,25,65,50,21,-150
W3,2020-09-01,2020-12-31,2021-01-01,2021-04-30,0.0,,,4,75.0,26.99,3.09,False,35,70,50,21,-150
W4,2021-01-01,2021-04-30,2021-05-01,2021-08-31,0.20774459002986057,,,7,57.1,3.35,1.18,False,35,65,60,21,-150
W5,2021-05-01,2021-08-31,2021-09-01,2021-12-31,2.7674084132182895,,,8,75.0,38.94,4.49,False,30,65,60,21,-150
W6,2021-09-01,2021-12-31,2022-01-01,2022-04-30,-0.634685008554615,,,6,66.7,-13.67,0.74,False,35,75,50,21,-150
W7,2022-01-01,2022-04-30,2022-05-01,2022-08-31,6.5455575363584035,,,5,80.0,43.42,28.77,False,30,65,50,21,-150
W8,2022-05-01,2022-08-31,2022-09-01,2022-12-31,0.0,,,3,0.0,-119.36,0.0,False,35,75,70,21,-150
W9,2022-09-01,2022-12-31,2023-01-01,2023-04-30,0.0,,,4,75.0,-7.89,0.82,False,35,65,50,21,-150
W11,2023-05-01,2023-08-31,2023-09-01,2023-12-31,1.3520612594170975,,,6,66.7,18.55,2.11,False,35,75,50,21,-150
W12,2023-09-01,2023-12-31,2024-01-01,2024-04-30,0.0,,,3,33.3,-23.83,0.07,False,30,70,70,21,-150
W13,2024-01-01,2024-04-30,2024-05-01,2024-08-31,0.6121058623826019,,,8,62.5,10.46,1.52,False,30,70,50,21,-150
W15,2024-09-01,2024-12-31,2025-01-01,2025-04-30,-2.046899773265632,,,7,42.9,-41.6,0.45,False,35,70,50,21,-150
W16,2025-01-01,2025-04-30,2025-05-01,2025-08-31,-2.461030456618655,,,8,25.0,-29.88,0.06,False,30,65,70,21,-150
