entry_date,exit_date,type,pnl,pnl_pct,reason,hold_days
2025-01-02 05:00:00,2025-01-22 05:00:00,put,46947.73149355386,68.52397278686985,PROFIT_TARGET,20
2025-01-22 05:00:00,2025-02-18 05:00:00,call,8574.430372853043,12.326678539486931,TIME_EXIT,27
2025-02-27 05:00:00,2025-03-24 04:00:00,put,-1406.9439334610797,-2.0484931507999056,TIME_EXIT,24
2025-04-03 04:00:00,2025-04-08 04:00:00,put,-104467.82694277802,-153.4079643516286,STOP_LOSS,5
2025-04-08 04:00:00,2025-04-09 04:00:00,put,60648.99745855601,88.83078720671126,PROFIT_TARGET,1
2025-05-12 04:00:00,2025-06-05 04:00:00,call,-16262.140579116094,-24.730637375171906,TIME_EXIT,24
2025-06-10 04:00:00,2025-07-07 04:00:00,call,-13973.206284287953,-20.570749169367065,TIME_EXIT,27
2025-07-09 04:00:00,2025-08-04 04:00:00,call,8192.42051732503,12.051594752944006,TIME_EXIT,26
2025-09-15 04:00:00,2025-10-09 04:00:00,call,-16482.708641423727,-24.124517933905924,TIME_EXIT,24
2025-10-09 04:00:00,2025-11-03 05:00:00,call,-18181.814539950487,-26.36984930450127,TIME_EXIT,25
